iter	Passed	Remaining
0	253	253707
1	468	233534
2	635	211308
3	816	203312
4	971	193365
5	1157	191812
6	1367	194052
7	1600	198431
8	1759	193690
9	1902	188345
10	2072	186366
11	2232	183783
12	2384	181010
13	2532	178354
14	2688	176515
15	2872	176636
16	3025	174927
17	3194	174279
18	3356	173277
19	3478	170451
20	3618	168697
21	3754	166919
22	3882	164937
23	4022	163578
24	4170	162662
25	4298	161010
26	4448	160322
27	4586	159230
28	4712	157796
29	4871	157504
30	5037	157458
31	5193	157117
32	5359	157058
33	5505	156431
34	5658	155999
35	5804	155422
36	5961	155165
37	6090	154182
38	6220	153274
39	6371	152927
40	6510	152288
41	6653	151774
42	6812	151613
43	6967	151385
44	7109	150882
45	7267	150716
46	7421	150487
47	7578	150309
48	7728	149990
49	7880	149723
50	8033	149479
51	8174	149032
52	8321	148696
53	8458	148174
54	8611	147963
55	8758	147639
56	8896	147182
57	9045	146905
58	9172	146296
59	9307	145824
60	9482	145970
61	9623	145589
62	9769	145309
63	9913	144979
64	10053	144615
65	10193	144251
66	10339	143980
67	10511	144075
68	10659	143822
69	10803	143537
70	10986	143758
71	11113	143241
72	11284	143303
73	11441	143168
74	11585	142883
75	11707	142342
76	11862	142191
77	12019	142081
78	12162	141792
79	12305	141511
80	12466	141441
81	12583	140869
82	12742	140780
83	12913	140814
84	13080	140803
85	13156	139823
86	13316	139744
87	13472	139624
88	13593	139145
89	13717	138700
90	13890	138751
91	14044	138609
92	14201	138501
93	14349	138303
94	14534	138460
95	14682	138256
96	14802	137800
97	14965	137741
98	15135	137751
99	15291	137620
100	15428	137332
101	15557	136968
102	15691	136654
103	15843	136502
104	16006	136436
105	16166	136349
106	16343	136403
107	16501	136289
108	16686	136404
109	16851	136343
110	16991	136084
111	17158	136041
112	17326	136005
113	17475	135815
114	17640	135758
115	17795	135611
116	17920	135242
117	18085	135181
118	18219	134883
119	18394	134892
120	18520	134544
121	18661	134302
122	18804	134080
123	18982	134100
124	19143	134001
125	19293	133828
126	19423	133519
127	19566	133297
128	19746	133327
129	19904	133205
130	20067	133118
131	20225	132999
132	20389	132916
133	20560	132878
134	20661	132386
135	20833	132356
136	20984	132189
137	21148	132101
138	21322	132079
139	21488	132001
140	21645	131866
141	21809	131779
142	21988	131779
143	22088	131300
144	22259	131252
145	22402	131040
146	22535	130765
147	22707	130720
148	22881	130683
149	23035	130535
150	23148	130153
151	23316	130079
152	23423	129672
153	23576	129517
154	23726	129348
155	23889	129249
156	24041	129088
157	24206	128999
158	24365	128874
159	24512	128692
160	24649	128451
161	24809	128333
162	24966	128200
163	25137	128140
164	25295	128010
165	25452	127877
166	25626	127823
167	25785	127700
168	25936	127531
169	26106	127461
170	26275	127381
171	26442	127292
172	26620	127255
173	26782	127138
174	26937	126988
175	27080	126786
176	27248	126697
177	27397	126522
178	27577	126487
179	27747	126403
180	27896	126229
181	28071	126166
182	28245	126099
183	28423	126052
184	28545	125753
185	28672	125480
186	28863	125485
187	29037	125415
188	29188	125248
189	29380	125253
190	29602	125384
191	29794	125383
192	29965	125295
193	30137	125211
194	30305	125107
195	30442	124875
196	30621	124819
197	30782	124683
198	30968	124651
199	31141	124564
200	31298	124415
201	31453	124256
202	31575	123967
203	31737	123836
204	31911	123756
205	32098	123718
206	32235	123492
207	32415	123428
208	32574	123284
209	32743	123179
210	32918	123094
211	33045	122829
212	33231	122786
213	33405	122694
214	33546	122483
215	33720	122393
216	33896	122307
217	34060	122181
218	34227	122063
219	34395	121947
220	34565	121840
221	34719	121674
222	34877	121524
223	35027	121343
224	35184	121191
225	35326	120986
226	35479	120816
227	35645	120694
228	35772	120437
229	35955	120372
230	36112	120220
231	36270	120069
232	36452	119994
233	36596	119798
234	36754	119646
235	37071	120011
236	37255	119939
237	37476	119988
238	37654	119895
239	37841	119831
240	38005	119694
241	38184	119601
242	38335	119424
243	38530	119380
244	38704	119274
245	38854	119091
246	39002	118902
247	39157	118736
248	39301	118535
249	39451	118355
250	39595	118154
251	39730	117930
252	39844	117642
253	39978	117417
254	40133	117252
255	40303	117132
256	40486	117048
257	40651	116912
258	40800	116730
259	40948	116545
260	41126	116447
261	41313	116372
262	41482	116246
263	41668	116167
264	41842	116054
265	42013	115931
266	42182	115803
267	42341	115649
268	42513	115528
269	42685	115408
270	42853	115276
271	42998	115084
272	43169	114961
273	43348	114857
274	43470	114605
275	43628	114446
276	43763	114226
277	43901	114018
278	44079	113912
279	44260	113813
280	44408	113629
281	44590	113532
282	44710	113276
283	44873	113130
284	45032	112975
285	45221	112895
286	45371	112716
287	45538	112581
288	45683	112390
289	45834	112214
290	45971	112007
291	46136	111865
292	46297	111715
293	46480	111616
294	46663	111516
295	46831	111383
296	47014	111284
297	47188	111162
298	47397	111123
299	47577	111015
300	47749	110887
301	47926	110770
302	48064	110564
303	48251	110469
304	48430	110357
305	48653	110344
306	48790	110137
307	48935	109945
308	49115	109833
309	49268	109662
310	49420	109486
311	49565	109298
312	49740	109174
313	49896	109009
314	50061	108863
315	50243	108754
316	50411	108616
317	50567	108449
318	50743	108327
319	50925	108217
320	51110	108112
321	51266	107947
322	51449	107835
323	51611	107682
324	51798	107580
325	51984	107476
326	52165	107361
327	52315	107183
328	52501	107077
329	52644	106883
330	52824	106765
331	52977	106592
332	53140	106440
333	53304	106290
334	53477	106157
335	53635	105993
336	53820	105884
337	53998	105760
338	54160	105605
339	54317	105440
340	54474	105273
341	54684	105212
342	54884	105128
343	55064	105006
344	55220	104838
345	55410	104736
346	55579	104592
347	55754	104459
348	55926	104321
349	56096	104179
350	56263	104031
351	56427	103878
352	56607	103753
353	56778	103612
354	56971	103510
355	57135	103357
356	57332	103263
357	57515	103143
358	57666	102965
359	57853	102850
360	58009	102682
361	58190	102556
362	58365	102420
363	58517	102244
364	58687	102100
365	58881	101997
366	59065	101876
367	59209	101686
368	59366	101517
369	59512	101332
370	59675	101174
371	59827	100999
372	60014	100881
373	60173	100717
374	60328	100547
375	60514	100427
376	60690	100292
377	60836	100106
378	60997	99946
379	61163	99792
380	61325	99633
381	61466	99441
382	61650	99317
383	61824	99177
384	61995	99031
385	62181	98910
386	62363	98782
387	62508	98595
388	62700	98483
389	62856	98313
390	63018	98153
391	63193	98015
392	63345	97838
393	63531	97715
394	63721	97599
395	63867	97413
396	64041	97272
397	64247	97178
398	64423	97039
399	64598	96897
400	64779	96765
401	64943	96607
402	65106	96447
403	65260	96275
404	65455	96162
405	65613	95995
406	65791	95858
407	65963	95711
408	66137	95568
409	66268	95362
410	66442	95218
411	66594	95042
412	66757	94883
413	66929	94735
414	67100	94588
415	67280	94450
416	67457	94310
417	67642	94182
418	67829	94054
419	67983	93882
420	68153	93731
421	68325	93582
422	68502	93442
423	68672	93290
424	68803	93087
425	68955	92911
426	69102	92730
427	69269	92575
428	69441	92426
429	69598	92259
430	69781	92124
431	69925	91939
432	70107	91802
433	70288	91666
434	70458	91515
435	70612	91342
436	70775	91182
437	70940	91023
438	71098	90857
439	71261	90696
440	71428	90540
441	71588	90376
442	71734	90194
443	71907	90045
444	72050	89861
445	72204	89689
446	72351	89508
447	72505	89336
448	72670	89178
449	72838	89025
450	72988	88848
451	73138	88671
452	73301	88511
453	73477	88366
454	73622	88185
455	73774	88011
456	73907	87815
457	74062	87645
458	74237	87499
459	74408	87349
460	74564	87181
461	74734	87028
462	74889	86858
463	75047	86692
464	75206	86527
465	75374	86373
466	75535	86210
467	75689	86040
468	75854	85881
469	76044	85752
470	76162	85541
471	76317	85371
472	76474	85205
473	76644	85052
474	76810	84896
475	76962	84722
476	77117	84553
477	77297	84412
478	77476	84269
479	77648	84119
480	77815	83963
481	77970	83794
482	78119	83618
483	78270	83445
484	78440	83292
485	78584	83112
486	78752	82957
487	78922	82803
488	79075	82633
489	79249	82484
490	79418	82329
491	79583	82171
492	79742	82007
493	79917	81858
